Time (s), Cell Name, Value
385.5, C002, 31.99862
391.65, C002, 28.97244
547.7, C002, 41.27938
555.9, C002, 1093.478
591.95, C002, 40.41374
595.25, C002, 35.67591
611.65, C002, 37.21314
641.35, C002, 83.24826
842.2, C002, 57.06904
917.45, C002, 44.57757
945, C002, 45.16996
1012.1, C002, 24.33981
1014.15, C002, 23.08082
1038.55, C002, 23.31263
1053.849999, C002, 745.1209
1058.65, C002, 51.24015
1071.8, C002, 35.70917
1074.8, C002, 32.74935
1085.8, C002, 44.43481
1091.8, C002, 56.30069
1097.25, C002, 36.89391
1101.65, C002, 32.92808
1106.8, C002, 23.30647
1108.25, C002, 35.97517
1113.85, C002, 31.42697
1114.95, C002, 27.00632
1120.6, C002, 31.19197
1127.25, C002, 47.85669
1135.5, C002, 63.54056
1138.3, C002, 23.21005
1145.45, C002, 61.49776
1158.95, C002, 24.24249
1162.8, C002, 46.17921
1175.65, C002, 24.84625
1183.3, C002, 82.22206
1186.3, C002, 36.91092
1189.75, C002, 29.84826
1199.3, C002, 40.15839
90.8, C003, 75.44032
91.90000000000001, C003, 912.394
93.95, C003, 141.1892
168.85, C003, 69.87065
190.3, C003, 715.2581
250.65, C003, 73.52244
21.3, C004, 84.27293
29.8, C004, 19.65111
32.049999, C004, 29.67682
35, C004, 44.04939
46.4, C004, 25.48699
58.55, C004, 23.12887
68.34999999999999, C004, 37.12083
77.45, C004, 26.48244
81.65000000000001, C004, 536.946
91, C004, 25.78749
99.05, C004, 38.37807
116.3, C004, 27.35425
119.2, C004, 33.48952
143, C004, 19.19366
148.25, C004, 94.03748
163.15, C004, 35.2658
181.75, C004, 29.29931
184.95, C004, 44.6189
190.2, C004, 74.50591
193.9, C004, 25.16012
194.45, C004, 101.0834
195.1, C004, 34.65176
201.4, C004, 37.61466
205.15, C004, 19.09525
218.45, C004, 52.88663
231.75, C004, 126.1342
239.15, C004, 40.94416
242.35, C004, 116.2957
246.8, C004, 32.452
261.85, C004, 29.62371
262.95, C004, 36.98645
264.399999, C004, 36.56952
277.15, C004, 33.09741
286.25, C004, 28.10522
287.1, C004, 20.96015
291.2, C004, 52.81881
292.85, C004, 56.29724
295.8, C004, 62.95131
296.4, C004, 37.68906
298.25, C004, 72.13319
299.5, C004, 26.46395
316.45, C004, 42.5251
319.05, C004, 66.51109
319.95, C004, 18.92017
320.2, C004, 44.7384
322.15, C004, 38.75245
325.8, C004, 24.90406
369.85, C004, 47.40622
389.95, C004, 21.87119
391.35, C004, 20.94551
394, C004, 44.76125
397.2, C004, 144.1884
525.549999, C004, 19.15777
553.85, C004, 27.64675
555.85, C004, 24.44298
600.9, C004, 490.8819
611.75, C004, 26.20235
641.1, C004, 31.27068
649.55, C004, 56.45855
763.5, C004, 27.68414
801.9, C004, 29.58396
1017.7, C004, 34.7665
1036, C004, 38.9621
1053.599999, C004, 457.1871
1056.45, C004, 59.34833
1070.099999, C004, 36.5213
1075.45, C004, 39.76381
1085.95, C004, 43.48479
1101.55, C004, 51.09517
1126.7, C004, 30.46854
1129.8, C004, 19.3979
1135.4, C004, 505.1921
1143.4, C004, 21.96707
1143.55, C004, 63.89122
1151.25, C004, 76.36475
1157.75, C004, 44.34499
1162.75, C004, 22.54494
1180.7, C004, 49.5042
1183.1, C004, 32.81628
1202.05, C004, 402.6846
1208.2, C004, 25.00547
1.25, C005, 25.44269
13, C005, 139.9807
13.35, C005, 425.7181
16.9, C005, 32.00415
39.25, C005, 56.95947
43.85, C005, 57.08815
59.95, C005, 40.40179
82.40000000000001, C005, 157.6825
88.34999999999999, C005, 93.2993
92.2, C005, 42.86631
113.35, C005, 67.89177
117.45, C005, 66.2309
124.85, C005, 68.23878
126.55, C005, 47.33701
127.95, C005, 158.563
129.3, C005, 296.4776
156.7, C005, 44.01366
169, C005, 47.26723
171.3, C005, 84.09344
190.55, C005, 33.71756
191.95, C005, 92.46939
194, C005, 102.3816
194.25, C005, 309.0717
251, C005, 28.58208
258, C005, 129.6344
261.6, C005, 30.31237
270.25, C005, 89.50328
291.25, C005, 36.2351
293, C005, 28.6456
298.4, C005, 101.3715
319.05, C005, 152.6962
340.15, C005, 27.11144
364.4, C005, 28.55583
371.65, C005, 196.4875
377.95, C005, 27.48859
384.65, C005, 52.17268
389.9, C005, 26.16667
392.65, C005, 55.54939
394.45, C005, 72.07349
397.2, C005, 78.96538
418.9, C005, 31.63643
449.2, C005, 28.20936
450.35, C005, 27.37906
473.55, C005, 95.96909
474.05, C005, 152.3999
477.3, C005, 39.14748
496.4, C005, 132.5762
548.4, C005, 218.1853
554.7, C005, 40.14045
556, C005, 25.45206
582.75, C005, 28.83932
585.15, C005, 30.50494
591.95, C005, 107.7037
605.65, C005, 195.4201
607.4, C005, 38.53152
611.9, C005, 44.38825
615, C005, 54.98145
615.8, C005, 77.84157
616.6, C005, 105.0511
640.85, C005, 105.676
669.15, C005, 48.91851
849.35, C005, 54.57404
878.9, C005, 54.19058
882.05, C005, 31.8851
888.9, C005, 36.77883
910.85, C005, 46.52487
911.1, C005, 32.7233
933.6, C005, 38.11052
963.15, C005, 50.59163
1010.25, C005, 40.09541
1023.8, C005, 25.79685
1026.7, C005, 114.7731
1036.05, C005, 78.37893
1043.65, C005, 33.87171
1043.9, C005, 102.1653
1044.3, C005, 148.3138
1050.25, C005, 274.8094
1053.65, C005, 54.94441
1066.7, C005, 33.40778
1071.05, C005, 73.45625
1074.35, C005, 27.69889
1085.55, C005, 119.9464
1091.85, C005, 28.18355
1094.05, C005, 34.99493
1095.8, C005, 26.34243
1096.45, C005, 31.04228
1109.9, C005, 29.5838
1115.95, C005, 37.08453
1121.35, C005, 30.37921
1121.95, C005, 73.64354
1126.65, C005, 42.98311
1133.25, C005, 51.72647
1133.75, C005, 55.61438
1140.25, C005, 170.4499
1140.85, C005, 326.4323
1143.95, C005, 54.77785
1145.5, C005, 43.90078
1156.5, C005, 234.8148
1157.8, C005, 79.17161
1173.05, C005, 80.90421
1183.2, C005, 107.808
1186, C005, 49.60973
1187.2, C005, 47.35899
1.4, C006, 41.37387
6.95, C006, 47.5153
7.25, C006, 155.6234
14.7, C006, 58.09185
16.1, C006, 57.622
20.3, C006, 75.8083
32.35, C006, 58.07614
41.15, C006, 54.59199
44.8, C006, 76.0253
45.65, C006, 61.32735
55.05, C006, 74.58051
75, C006, 119.3396
79.5, C006, 38.28005
81.7, C006, 49.32657
87.7, C006, 42.60965
88.15000000000001, C006, 113.0232
91.45, C006, 66.20306
92.25, C006, 42.51072
102.45, C006, 43.239
110.95, C006, 79.3412
115.4, C006, 493.4661
130.6, C006, 40.91387
141.55, C006, 44.2968
145.1, C006, 42.35336
148.4, C006, 45.94884
154.9, C006, 46.01855
157.8, C006, 287.4488
167.6, C006, 45.23807
169.3, C006, 50.04516
174.35, C006, 78.51957
188.1, C006, 287.9321
230, C006, 78.5014
242.9, C006, 445.8851
257.399999, C006, 46.47636
263.3, C006, 41.17798
291.6, C006, 37.74405
293.05, C006, 42.70299
316.1, C006, 64.86525
317.2, C006, 407.461
366.1, C006, 42.4556
595.2, C006, 85.72626
605.65, C006, 42.92019
628.05, C006, 130.5652
828.9, C006, 116.1312
1053.55, C006, 104.5533
1054.15, C006, 290.9989
1083.5, C006, 66.86018
1096.25, C006, 39.38013
1102.7, C006, 49.28227
1117.15, C006, 190.1017
1159.85, C006, 38.33757
1169.95, C006, 547.6561
1202.1, C006, 63.94149
1207.4, C006, 64.04543
4.15, C007, 45.86996
5.65, C007, 34.89962
11.05, C007, 56.65399
16.25, C007, 30.70732
19.55, C007, 59.9883
24, C007, 212.6632
25.5, C007, 35.08552
29.55, C007, 36.66334
39.75, C007, 29.08416
60.25, C007, 32.47334
63.95, C007, 29.46767
74.8, C007, 28.85466
88.34999999999999, C007, 27.54404
89.09999999999999, C007, 289.4631
91.8, C007, 140.0574
103.8, C007, 28.54418
116.3, C007, 43.22772
144.8, C007, 156.9937
148.45, C007, 117.3471
154.7, C007, 28.61427
164.8, C007, 303.3782
166.95, C007, 33.6031
167.15, C007, 449.1017
171.3, C007, 159.4737
188.25, C007, 100.2215
207.35, C007, 31.40914
210.1, C007, 135.1935
213.7, C007, 29.39394
217.65, C007, 32.33611
249.65, C007, 111.788
250.7, C007, 92.10555
251.2, C007, 69.29671
258.05, C007, 44.2984
270.05, C007, 353.2689
277.25, C007, 118.2716
286.25, C007, 117.69
291.35, C007, 46.0204
297.5, C007, 96.05276
299.45, C007, 31.025
316.45, C007, 312.213
319.05, C007, 117.2449
320.25, C007, 76.61154
368.05, C007, 78.40591
371.7, C007, 32.85644
371.85, C007, 215.5509
391.35, C007, 113.8911
392.6, C007, 69.71893
394.6, C007, 43.04292
510.9, C007, 53.05588
545.9, C007, 217.2208
549.05, C007, 120.1012
554.5, C007, 41.6762
606.25, C007, 31.63567
628.05, C007, 50.3109
639.85, C007, 32.62466
651.35, C007, 61.16345
657.6, C007, 26.71438
658.1, C007, 79.49368
1053.75, C007, 370.944
1058.65, C007, 98.94588
1061.8, C007, 51.63818
1063.2, C007, 49.64365
1066.7, C007, 35.73874
1071.05, C007, 51.22242
1085.75, C007, 28.53427
1090.85, C007, 31.43265
1106.75, C007, 26.90364
1110.85, C007, 93.44403
1113.7, C007, 61.21968
1115.55, C007, 35.02129
1128.75, C007, 65.08992
1141.55, C007, 48.8295
1151.65, C007, 41.8848
1154.15, C007, 29.99267
1157.95, C007, 105.6692
1164.7, C007, 66.02325
1176.85, C007, 31.76504
1192.3, C007, 41.76186
13.45, C008, 94.38781
16.8, C008, 55.97225
34.5, C008, 33.93947
34.65, C008, 34.5533
34.9, C008, 365.6935
44.15, C008, 32.09582
50.65, C008, 42.55033
67.34999999999999, C008, 32.46523
87.55, C008, 34.97649
89.2, C008, 36.25266
92.2, C008, 92.7888
93.05, C008, 209.0467
95.15000000000001, C008, 37.31833
104.4, C008, 43.74246
110.6, C008, 47.3285
111.7, C008, 35.696
137.6, C008, 35.27891
139.3, C008, 66.74577
145.25, C008, 62.17347
148.2, C008, 137.3866
175.1, C008, 50.12177
190.4, C008, 34.79527
201.55, C008, 37.74717
236.7, C008, 54.66529
241.45, C008, 32.39577
250.6, C008, 60.61614
277.9, C008, 39.51189
283.4, C008, 42.24133
287.15, C008, 35.57791
293.3, C008, 35.25905
313.85, C008, 39.14472
359.1, C008, 39.37508
397.3, C008, 34.58537
438.8, C008, 32.46308
533.2, C008, 56.12821
547.75, C008, 108.4875
554.95, C008, 35.32453
595.45, C008, 40.23188
599.6, C008, 48.44115
615.1, C008, 66.97523
616.5, C008, 35.97309
651.25, C008, 44.86456
717.7, C008, 33.39222
878.9, C008, 45.12983
913.6, C008, 32.29186
933.6, C008, 32.63593
963.1, C008, 37.31827
1026.8, C008, 70.19419
1029.2, C008, 54.99414
1050.349999, C008, 48.28296
1053.7, C008, 76.87907
1071, C008, 40.20668
1079.75, C008, 31.97118
1085.6, C008, 60.78053
1091.9, C008, 62.38321
1101.05, C008, 46.80534
1101.85, C008, 40.57707
1104.45, C008, 55.54434
1114.85, C008, 35.75522
1124.7, C008, 33.03867
1129.4, C008, 33.55361
1131.6, C008, 53.36055
1135.45, C008, 292.7822
1143.45, C008, 32.44131
1144.55, C008, 33.73667
1154.85, C008, 39.38747
1160.6, C008, 34.54245
1162.75, C008, 58.34909
1164.55, C008, 38.88391
1174.9, C008, 31.86051
1183.5, C008, 49.27105
11.65, C009, 52.12769
32.15, C009, 40.86188
32.7, C009, 39.90791
58.45, C009, 44.52763
128.949999, C009, 42.91283
171.35, C009, 43.02652
184.5, C009, 251.0146
195.55, C009, 54.2887
205.25, C009, 331.3296
282.1, C009, 376.1893
548.8, C009, 56.26534
601, C009, 40.03957
613.3, C009, 73.2282
613.8, C009, 385.6889
626.85, C009, 46.01984
634.4, C009, 38.38149
649.7, C009, 222.7949
685.4, C009, 38.40652
888, C009, 40.04787
1066.5, C009, 74.39932
1069, C009, 41.59711
1078.9, C009, 44.42319
1097.9, C009, 47.43626
1106.7, C009, 55.73899
1153.15, C009, 46.96784
1153.5, C009, 295.6386
1170.25, C009, 327.0905
1202.2, C009, 58.52594
11.2, C010, 50.45584
25.4, C010, 40.81409
28.05, C010, 30.68975
31.4, C010, 34.3525
36.05, C010, 439.4431
42.75, C010, 22.45404
48.35, C010, 44.65691
68.05, C010, 73.42855
111.8, C010, 29.54781
118.9, C010, 327.4403
122.3, C010, 31.65024
128.699999, C010, 25.07183
133.15, C010, 50.6319
145.95, C010, 28.00291
148.05, C010, 322.0629
158.3, C010, 25.14967
160.45, C010, 47.56626
172.25, C010, 28.38846
173.95, C010, 276.7308
183.95, C010, 29.2258
213.2, C010, 70.08945
222.65, C010, 378.7739
224.95, C010, 45.76697
231.8, C010, 361.3813
246.55, C010, 43.22494
290.7, C010, 23.95226
291.2, C010, 375.1896
315.5, C010, 431.6649
368, C010, 37.48092
386.15, C010, 250.8006
473.5, C010, 52.42255
511, C010, 44.29988
529.6, C010, 38.17261
545.9, C010, 24.11
602.7, C010, 111.351
603.15, C010, 24.25067
607.5, C010, 21.05594
618.8, C010, 63.80634
626.8, C010, 413.5321
651.3, C010, 62.28204
651.65, C010, 21.39902
657.65, C010, 29.49349
717.7, C010, 22.09534
820.9, C010, 48.03776
852.15, C010, 39.16878
915.7, C010, 43.36581
967.1, C010, 45.48637
972.45, C010, 28.49495
1016.65, C010, 265.9728
1028, C010, 58.32178
1038.45, C010, 56.1165
1061.4, C010, 36.52407
1065.8, C010, 36.87694
1085.95, C010, 22.53282
1086.55, C010, 42.48275
1101.05, C010, 30.16895
1104.4, C010, 37.51793
1108.05, C010, 45.6771
1141.95, C010, 195.3808
1147.9, C010, 23.46399
1154.25, C010, 51.83915
1190.4, C010, 243.1092
1194.4, C010, 53.79992
6.95, C011, 42.57404
13.25, C011, 37.8208
13.4, C011, 400.6662
18.6, C011, 44.82717
31.5, C011, 70.4442
31.9, C011, 31.16453
32.2, C011, 42.96769
35.05, C011, 110.9081
36.4, C011, 34.80652
37, C011, 162.9219
53.85, C011, 41.90257
68.2, C011, 46.05072
70.09999999999999, C011, 38.61295
71.55, C011, 46.6245
82.65000000000001, C011, 44.22583
82.90000000000001, C011, 41.38594
92.05, C011, 113.9092
101.9, C011, 92.23463
118.05, C011, 92.04926
118.85, C011, 83.41305
122, C011, 49.14555
122.75, C011, 28.6341
124.9, C011, 77.5065
126.4, C011, 34.17594
128.05, C011, 71.92167
133.699999, C011, 72.0015
134.95, C011, 42.82038
137.65, C011, 63.14045
138.6, C011, 83.44968
139.95, C011, 397.091
143.3, C011, 41.73609
145.45, C011, 64.11337
146.3, C011, 38.51896
148.35, C011, 157.9955
152.3, C011, 109.1934
171.3, C011, 169.0051
173.95, C011, 73.96445
177.7, C011, 92.60257
181.7, C011, 79.95254
185.35, C011, 35.81231
187.95, C011, 86.50869
192.25, C011, 34.9652
193.85, C011, 37.15044
195.3, C011, 84.78369
204.8, C011, 33.39647
205.7, C011, 40.93417
210.15, C011, 75.95836
213.15, C011, 76.93141
214.9, C011, 87.39867
222.05, C011, 28.93048
222.2, C011, 30.39612
222.85, C011, 72.50276
229.6, C011, 48.72191
237.3, C011, 29.39662
237.6, C011, 91.56895
241.55, C011, 49.65794
242.15, C011, 422.178
246.9, C011, 89.69536
250.55, C011, 49.30094
257.45, C011, 86.15675
258.05, C011, 64.47411
267.55, C011, 29.45023
269, C011, 123.0434
278.05, C011, 72.9295
281.95, C011, 42.78069
285.25, C011, 77.98661
285.8, C011, 63.72577
293.35, C011, 96.922
298.1, C011, 73.85529
299.65, C011, 87.71199
300.05, C011, 30.61529
301.05, C011, 56.31211
314.6, C011, 35.01285
315.45, C011, 44.31007
339.35, C011, 484.389
357.15, C011, 117.8116
359.55, C011, 53.11238
385.1, C011, 47.91056
391.75, C011, 51.35638
405.3, C011, 38.04758
491.1, C011, 32.52648
510.65, C011, 31.29223
547.5, C011, 444.7852
556, C011, 51.3626
557.7, C011, 90.59837
592, C011, 112.5072
602.15, C011, 58.32242
603.8, C011, 59.99615
613.65, C011, 55.8854
616.45, C011, 83.041
618.6, C011, 43.83047
620.15, C011, 84.70171
625.85, C011, 32.06426
641.35, C011, 93.57561
648, C011, 36.16432
648.75, C011, 30.53518
650.65, C011, 89.49982
669.1, C011, 57.66492
752.4, C011, 38.91351
768.25, C011, 29.63357
799.85, C011, 45.00877
842.35, C011, 102.4471
851.5, C011, 49.12025
852.1, C011, 54.23294
859.3, C011, 37.05255
893.1, C011, 28.15438
899.4, C011, 41.03307
906.45, C011, 33.77444
