Name,SNR,EventRate(Hz)
C000,11.2477,0.0958014
C001,6.87332,0.176608
C002,8.293,0.179107
C003,5.71005,0.13079
C004,6.87714,0.129124
C005,6.08043,0.149117
C006,6.46072,0.167444
C007,9.26971,0.174942
C008,7.0383,0.167444
C009,6.63942,0.137454
C010,7.54263,0.147451
C011,7.33381,0.155781
C012,9.28105,0.173276
C013,5.81436,0.124125
C014,6.36135,0.129124
C015,8.64601,0.120793
C016,8.80092,0.154115
C017,8.34098,0.133289
C018,6.56704,0.179107
C019,6.5668,0.199933
C020,10.8404,0.136621
C021,7.07308,0.153282
C022,6.09824,0.124958
C023,7.08353,0.136621
C024,7.49463,0.167444
C025,6.82383,0.164945
C026,6.66992,0.0974675
C027,9.48396,0.143286
C028,7.79031,0.136621
C029,6.51205,0.20993
C030,7.45327,0.201599
C031,7.78047,0.16911
C032,7.9164,0.16078
C033,8.21324,0.169943
C034,7.82174,0.153282
C035,9.16037,0.16078
C036,6.63695,0.170776
C037,7.31818,0.22076
C038,7.25294,0.204932
C039,7.00918,0.144119
C040,7.75271,0.19077
C041,6.27695,0.186604
C042,7.12198,0.214928
C043,6.49543,0.203266
C044,6.56524,0.169943
C045,6.34481,0.127458
C046,7.86683,0.187438
C047,8.31591,0.145785
C048,7.8416,0.137454
C049,8.18699,0.16078
C050,7.18472,0.161613
C051,6.54737,0.173276
C052,6.97475,0.16911
C053,5.47545,0.172443
C054,7.16585,0.167444
C055,7.68279,0.181606
C056,8.06039,0.136621
C057,5.89838,0.170776
C058,6.43996,0.196601
C059,9.17119,0.167444
C060,6.91731,0.189937
C061,10.3401,0.117461
C062,6.51718,0.174942
C063,8.47542,0.104132
C064,7.09017,0.153282
C065,7.46332,0.141619
C066,7.49969,0.163279
C067,6.74014,0.138287
C068,6.28745,0.208264
C069,6.63414,0.193269
C070,6.58579,0.169943
C071,7.11941,0.144952
C072,6.56715,0.174109
C073,7.00451,0.156614
C074,6.30984,0.169943
C075,6.98625,0.176608
C076,8.18002,0.141619
C077,7.92336,0.170776
C078,7.10349,0.171609
C079,7.01425,0.143286
C080,6.08632,0.178274
C081,6.15438,0.182439
C082,5.89883,0.179107
C083,5.93533,0.155781
C084,6.39618,0.174109
C085,6.87931,0.1991
C086,6.05357,0.182439
C087,5.75523,0.147451
C088,6.79838,0.117461
C089,6.98125,0.164945
C090,6.95689,0.192436
C091,8.23663,0.159947
C092,6.55946,0.177441
C093,6.61053,0.129124
C094,9.4089,0.109963
C095,7.92578,0.159947
C096,6.99671,0.119127
C097,7.38595,0.175775
C098,8.7715,0.13912
C099,6.33112,0.165778
C100,5.21917,0.125791
C101,6.63919,0.159114
C102,7.87236,0.131623
C103,7.30091,0.142453
C104,6.25245,0.124958
C105,5.7043,0.114129
C106,8.50664,0.118294
C107,6.76299,0.169943
C108,7.71762,0.139953
C109,5.57248,0.16911
C110,6.6193,0.165778
C111,5.18822,0.178274
C112,5.16648,0.162446
C113,5.37075,0.165778
C114,6.55868,0.163279
C115,5.44296,0.0991336
C116,5.93296,0.125791
C117,7.78355,0.189937
C118,6.52947,0.144952
C119,6.09763,0.158281
C120,5.39733,0.142453
C121,6.39556,0.14995
C122,6.31656,0.168277
C123,6.11259,0.147451
C124,5.99896,0.153282
C125,6.79026,0.121626
C126,6.39516,0.0716428
C127,5.64322,0.115795
C128,5.28722,0.159114
C129,6.29326,0.0983006
C130,5.37132,0.114962
C131,5.77692,0.141619
C132,5.37325,0.0883039
C133,5.52162,0.117461
C134,5.02931,0.0708097
C135,4.273,0.0258247
C136,5.28943,0.0324892
C137,5.12181,0.0308231
C138,7.15015,0.0341553
