Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0
C121,accepted,255,255,255,161,213,1,10.2956,1
C122,accepted,255,255,255,170,228,1,9.21954,1
C123,rejected,255,255,255,152,7,1,12.083,1
C124,accepted,255,255,255,105,38,1,11.1803,1
C125,accepted,255,255,255,102,28,1,8.94427,1
C126,accepted,255,255,255,78,146,1,9.21954,1
C127,rejected,255,255,255,252,258,1,10.8167,1
C128,rejected,255,255,255,118,49,1,13.8924,1
C129,rejected,255,255,255,57,119,1,8.94427,1
C130,rejected,255,255,255,197,58,1,11.1803,1
C131,accepted,255,255,255,132,20,1,9.21954,1
C132,rejected,255,255,255,153,263,1,11.4018,1
C133,rejected,255,255,255,106,151,2,13.0384,1
C134,accepted,255,255,255,108,139,1,8.94427,1
C135,rejected,255,255,255,7,7,1,22.6274,1
C136,accepted,255,255,255,135,35,1,10,1
C137,accepted,255,255,255,211,85,1,8.544,1
C138,accepted,255,255,255,125,240,1,9.84886,1
